segundos,temp,hum,press,ohm
220,178.45,100,-132.66,15133.58
221,21.82,72.04,1010.31,15054.34
222,21.82,72.04,1010.29,15093.89
223,21.81,72.04,1010.28,15093.89
224,21.8,72.04,1010.29,15093.89
225,21.8,72.05,1010.25,15014.94
226,21.81,72.08,1010.29,15253.56
227,21.79,72.07,1010.26,15273.69
228,21.8,72.08,1010.31,15093.89
229,21.8,72.08,1010.27,15034.62
230,21.8,72.08,1010.26,15093.89
231,21.78,72.05,1010.26,15233.47
232,21.79,72.03,1010.29,14975.68
233,21.79,72.01,1010.29,15014.94
234,21.78,72.01,1010.25,15093.89
235,21.79,72.02,1010.3,14956.1
236,21.79,72.02,1010.29,15293.85
237,21.77,72.02,1010.23,15113.72
238,21.78,72.03,1010.27,15233.47
239,21.78,72.02,1010.28,15273.69
240,21.77,72.03,1010.25,15093.89
241,21.77,72.04,1010.26,15233.47
242,21.78,72.05,1010.25,15374.89
243,21.76,72.06,1010.22,15213.42
244,21.77,72.07,1010.25,15395.25
245,21.78,72.06,1010.28,15354.58
246,21.78,72.06,1010.26,15173.43
247,21.78,72.05,1010.3,15173.43
248,21.77,72.05,1010.28,15293.85
249,21.77,72.05,1010.22,15395.25
250,21.78,72.07,1010.3,15193.41
251,21.78,72.56,1010.27,15415.64
252,21.77,72.77,1010.28,15477.05
253,21.78,72.72,1010.26,15213.42
254,21.75,72.62,1010.26,15374.89
255,21.77,72.42,1010.26,15173.43
256,21.77,72.46,1010.27,15173.43
257,21.77,72.73,1010.24,15233.47
258,21.78,72.95,1010.27,15314.06
259,21.78,72.94,1010.23,14858.77
260,21.77,72.97,1010.23,15133.58
261,21.79,73.08,1010.21,15213.42
262,21.79,73.03,1010.23,15334.3
263,21.79,73,1010.22,15334.3
264,21.84,76.91,1010.23,14762.32
265,21.86,78.08,1010.24,14553.2
266,21.84,77.18,1010.23,14403.71
267,21.87,76.09,1010.27,14647.74
268,21.88,75.56,1010.23,14553.2
269,21.87,75.11,1010.23,14762.32
270,21.92,78.3,1010.27,14440.88
271,21.94,80.3,1010.23,14440.88
272,21.95,80.11,1010.25,14440.88
273,21.93,78.08,1010.21,14609.82
274,21.93,76.25,1010.21,14917.06
275,21.94,75.15,1010.23,15093.89
276,21.94,75.24,1010.23,14917.06
277,21.96,76.56,1010.25,14515.63
278,21.95,76.93,1010.24,14590.91
279,21.98,77.93,1010.24,14743.13
280,22.01,79.91,1010.24,14219.83
281,22.02,79.73,1010.25,14553.2
282,22.01,77.64,1010.26,14329.76
283,22.02,76.49,1010.24,14572.04
284,22.01,75.86,1010.24,14292.99
285,22.02,75.41,1010.29,14743.13
286,22,75.17,1010.22,14609.82
287,22,74.51,1010.25,14553.2
288,22,75.49,1010.21,14781.54
289,22.02,75.95,1010.24,14762.32
290,22.01,75.16,1010.25,14515.63
291,22.02,74.71,1010.26,14995.29
292,22.01,74.28,1010.23,14666.75
293,22.01,74.58,1010.21,14515.63
294,22.06,78.6,1010.25,14459.52
295,22.05,78.11,1010.23,14995.29
296,22.05,76.05,1010.22,14743.13
297,22.04,74.95,1010.21,15213.42
298,22.04,74.17,1010.24,15074.09
299,22.05,73.67,1010.23,14936.56
300,22.05,73.76,1010.24,15054.34
301,22.05,73.8,1010.21,15093.89
302,22.06,73.7,1010.21,15093.89
303,22.05,73.58,1010.25,14975.68
304,22.06,73.25,1010.25,15054.34
305,22.06,73.06,1010.21,15014.94
306,22.06,72.84,1010.25,15014.94
307,22.09,73.1,1010.26,15173.43
308,22.07,72.93,1010.23,15233.47
309,22.07,72.67,1010.21,15233.47
310,22.07,72.4,1010.27,14897.59
311,22.07,72.25,1010.26,15334.3
